gene_symbol	n_cohorts_detected	cohorts_detected	meta_direction	meta_beta	meta_se	meta_z	meta_p_value	meta_fdr	n_nominal_p_lt_0_05	n_fdr_lt_0_10	n_case_up_cohorts	n_case_down_cohorts	direction_consistency	leave_one_cohort_out_tested	leave_one_cohort_out_replicated	leave_one_cohort_out_replication_rate	leave_one_cohort_out_details	heterogeneity_q	heterogeneity_i2	tau_sq	heterogeneity_flag	effects_by_cohort	p_values_by_cohort	fdr_by_cohort
TIMMDC1	4	GSE111006_HSS,GSE111010_JSS,GSE111016_SSS,GSE226151	case_down	-0.13580432613656437	0.03897827840281609	-3.4841027285277133	0.0004937899201158647	0.33944052633682265	1	0	0	4	1.0	4	4	1.0	GSE111006_HSS:match(heldout=-0.027878,discovery_mean=-0.14118);GSE111010_JSS:match(heldout=-0.076143,discovery_mean=-0.12509);GSE111016_SSS:match(heldout=-0.1776,discovery_mean=-0.091274);GSE226151:match(heldout=-0.1698,discovery_mean=-0.093874)	2.457631123454199	0.0	0.0	False	GSE111006_HSS:-0.0278778;GSE111010_JSS:-0.076143;GSE111016_SSS:-0.177601;GSE226151:-0.169801	GSE111006_HSS:0.756685;GSE111010_JSS:0.515604;GSE111016_SSS:0.00266031;GSE226151:0.0629031	GSE111006_HSS:0.956726;GSE111010_JSS:0.999436;GSE111016_SSS:0.894611;GSE226151:0.561229
PTGES2	4	GSE111006_HSS,GSE111010_JSS,GSE111016_SSS,GSE226151	case_down	-0.16228629672943365	0.04678328235545241	-3.4688950530748683	0.0005226035561287953	0.33944052633682265	1	0	0	4	1.0	4	4	1.0	GSE111006_HSS:match(heldout=-0.087467,discovery_mean=-0.16649);GSE111010_JSS:match(heldout=-0.034825,discovery_mean=-0.18403);GSE111016_SSS:match(heldout=-0.20408,discovery_mean=-0.12761);GSE226151:match(heldout=-0.26055,discovery_mean=-0.10879)	2.039031603461771	0.0	0.0	False	GSE111006_HSS:-0.0874671;GSE111010_JSS:-0.034825;GSE111016_SSS:-0.204085;GSE226151:-0.260551	GSE111006_HSS:0.308614;GSE111010_JSS:0.854831;GSE111016_SSS:0.00254884;GSE226151:0.123667	GSE111006_HSS:0.81083;GSE111010_JSS:0.999436;GSE111016_SSS:0.894611;GSE226151:0.589764
EMC6	4	GSE111006_HSS,GSE111010_JSS,GSE111016_SSS,GSE226151	case_down	-0.11214810811521506	0.03239622955314232	-3.461764213370845	0.0005366470822391393	0.33944052633682265	1	0	0	4	1.0	4	4	1.0	GSE111006_HSS:match(heldout=-0.090783,discovery_mean=-0.096307);GSE111010_JSS:match(heldout=-0.070594,discovery_mean=-0.10304);GSE111016_SSS:match(heldout=-0.14414,discovery_mean=-0.07852);GSE226151:match(heldout=-0.074185,discovery_mean=-0.10184)	1.0804537263518015	0.0	0.0	False	GSE111006_HSS:-0.0907828;GSE111010_JSS:-0.0705935;GSE111016_SSS:-0.144143;GSE226151:-0.0741849	GSE111006_HSS:0.359117;GSE111010_JSS:0.583916;GSE111016_SSS:0.00276004;GSE226151:0.21457	GSE111006_HSS:0.837389;GSE111010_JSS:0.999436;GSE111016_SSS:0.894611;GSE226151:0.638912
LTO1	4	GSE111006_HSS,GSE111010_JSS,GSE111016_SSS,GSE226151	case_up	0.1096500447409973	0.031748510544955	3.45370673643842	0.0005529383090073035	0.33944052633682265	1	0	4	0	1.0	4	4	1.0	GSE111006_HSS:match(heldout=0.090137,discovery_mean=0.10317);GSE111010_JSS:match(heldout=0.14417,discovery_mean=0.085156);GSE111016_SSS:match(heldout=0.13272,discovery_mean=0.088971);GSE226151:match(heldout=0.032608,discovery_mean=0.12234)	1.3498441055933368	0.0	0.0	False	GSE111006_HSS:0.0901374;GSE111010_JSS:0.144166;GSE111016_SSS:0.132721;GSE226151:0.0326082	GSE111006_HSS:0.202536;GSE111010_JSS:0.218715;GSE111016_SSS:0.00338913;GSE226151:0.693449	GSE111006_HSS:0.746217;GSE111010_JSS:0.999436;GSE111016_SSS:0.894611;GSE226151:0.877335
ZNF436	4	GSE111006_HSS,GSE111010_JSS,GSE111016_SSS,GSE226151	case_up	0.19855160889141252	0.057590688180164884	3.4476338999504565	0.0005655200125173794	0.33944052633682265	1	0	4	0	1.0	4	4	1.0	GSE111006_HSS:match(heldout=0.24702,discovery_mean=0.13845);GSE111010_JSS:match(heldout=0.11706,discovery_mean=0.18177);GSE111016_SSS:match(heldout=0.23952,discovery_mean=0.14095);GSE226151:match(heldout=0.058759,discovery_mean=0.2012)	1.2459295325039026	0.0	0.0	False	GSE111006_HSS:0.247025;GSE111010_JSS:0.117064;GSE111016_SSS:0.239515;GSE226151:0.0587589	GSE111006_HSS:0.066079;GSE111010_JSS:0.310067;GSE111016_SSS:0.00644306;GSE226151:0.808916	GSE111006_HSS:0.594363;GSE111010_JSS:0.999436;GSE111016_SSS:0.894611;GSE226151:0.927849
ZNF585A	4	GSE111006_HSS,GSE111010_JSS,GSE111016_SSS,GSE226151	case_up	0.12760709653812588	0.03701771734884199	3.44718976957983	0.0005664505459297634	0.33944052633682265	2	0	4	0	1.0	4	4	1.0	GSE111006_HSS:match(heldout=0.021595,discovery_mean=0.19642);GSE111010_JSS:match(heldout=0.27061,discovery_mean=0.11341);GSE111016_SSS:match(heldout=0.11363,discovery_mean=0.16574);GSE226151:match(heldout=0.20501,discovery_mean=0.13528)	2.8975991217309507	0.0	0.0	False	GSE111006_HSS:0.0215945;GSE111010_JSS:0.270609;GSE111016_SSS:0.11363;GSE226151:0.205014	GSE111006_HSS:0.838006;GSE111010_JSS:0.0582298;GSE111016_SSS:0.0180165;GSE226151:0.0392963	GSE111006_HSS:0.97278;GSE111010_JSS:0.999436;GSE111016_SSS:0.894611;GSE226151:0.548808
GTF3C6	4	GSE111006_HSS,GSE111010_JSS,GSE111016_SSS,GSE226151	case_down	-0.1269731995843664	0.036906009439532955	-3.440447816293986	0.0005807524151376843	0.33944052633682265	1	0	0	4	1.0	4	4	1.0	GSE111006_HSS:match(heldout=-0.11086,discovery_mean=-0.16691);GSE111010_JSS:match(heldout=-0.14587,discovery_mean=-0.15524);GSE111016_SSS:match(heldout=-0.11532,discovery_mean=-0.16542);GSE226151:match(heldout=-0.23954,discovery_mean=-0.12402)	0.9182065078389019	0.0	0.0	False	GSE111006_HSS:-0.110864;GSE111010_JSS:-0.14587;GSE111016_SSS:-0.115325;GSE226151:-0.239538	GSE111006_HSS:0.217093;GSE111010_JSS:0.358436;GSE111016_SSS:0.0140428;GSE226151:0.0647052	GSE111006_HSS:0.759678;GSE111010_JSS:0.999436;GSE111016_SSS:0.894611;GSE226151:0.561229
MKKS	4	GSE111006_HSS,GSE111010_JSS,GSE111016_SSS,GSE226151	case_down	-0.15612376223413715	0.045590125269397826	-3.424508296732726	0.0006159130380663217	0.33944052633682265	1	0	0	4	1.0	4	4	1.0	GSE111006_HSS:match(heldout=-0.10918,discovery_mean=-0.17155);GSE111010_JSS:match(heldout=-0.13124,discovery_mean=-0.1642);GSE111016_SSS:match(heldout=-0.13103,discovery_mean=-0.16427);GSE226151:match(heldout=-0.25238,discovery_mean=-0.12382)	1.4459122521336418	0.0	0.0	False	GSE111006_HSS:-0.10918;GSE111010_JSS:-0.131243;GSE111016_SSS:-0.131029;GSE226151:-0.252377	GSE111006_HSS:0.306216;GSE111010_JSS:0.431454;GSE111016_SSS:0.0510377;GSE226151:0.0100864	GSE111006_HSS:0.809912;GSE111010_JSS:0.999436;GSE111016_SSS:0.894611;GSE226151:0.471396
COX15	4	GSE111006_HSS,GSE111010_JSS,GSE111016_SSS,GSE226151	case_down	-0.1285756912408366	0.037560671647752814	-3.4231467543134055	0.0006190064834519055	0.33944052633682265	1	0	0	4	1.0	4	4	1.0	GSE111006_HSS:match(heldout=-0.098749,discovery_mean=-0.15145);GSE111010_JSS:match(heldout=-0.21776,discovery_mean=-0.11178);GSE111016_SSS:match(heldout=-0.1105,discovery_mean=-0.14753);GSE226151:match(heldout=-0.12609,discovery_mean=-0.14233)	1.2409193415573425	0.0	0.0	False	GSE111006_HSS:-0.0987489;GSE111010_JSS:-0.217757;GSE111016_SSS:-0.110499;GSE226151:-0.126093	GSE111006_HSS:0.189765;GSE111010_JSS:0.025215;GSE111016_SSS:0.0685038;GSE226151:0.190154	GSE111006_HSS:0.739176;GSE111010_JSS:0.999436;GSE111016_SSS:0.894611;GSE226151:0.6237
BCAP31P1	2	GSE111006_HSS,GSE111016_SSS	case_down	-0.2572300409218187	0.07524672505622629	-3.4184881897465944	0.0006297005053371685	0.33944052633682265	1	0	0	2	1.0	2	2	1.0	GSE111006_HSS:match(heldout=-0.11852,discovery_mean=-0.26471);GSE111016_SSS:match(heldout=-0.26471,discovery_mean=-0.11852)	0.18324010615046182	0.0	0.0	False	GSE111006_HSS:-0.118521;GSE111016_SSS:-0.26471	GSE111006_HSS:0.724206;GSE111016_SSS:0.00151144	GSE111006_HSS:0.952869;GSE111016_SSS:0.894611
